,id,externalchannelname,incidentdate,classificationid,createdatetime,priority,ciscaseid,crmcaseid,crmcasestatus,ciscasestatus,histclusterid,retiredate,externalchannelid,externalchannelincidentid,clusterid,month,municipalityid,submunicipalityid,coordinatex,coordinatey,numberofunits
530,4588537,Urbi,2024-04-01 03:00:00,NSPCL-23,2024-04-03 20:43:47,,,,Retired,Retired,28b330d492d83821_NSPCL-23,2024-04-08 13:33:09,009,9393589_NSPCL-23,98e84dd7ab3cff33_NSPCL-23,4,008001,008001068,43.947262933,26.367025947,1
531,4588551,Urbi,2024-04-01 03:00:00,NSPCL-10,2024-04-03 20:43:47,Low (0%-10%),,,Retired,Retired,bfc6e940a3dfee50_NSPCL-10,2024-05-26 18:29:28,009,9396168_NSPCL-10,8aaffb394b69e337_NSPCL-10,4,008001,008001068,43.939404107,26.396391263,1
532,4586722,Urbi,2024-04-02 03:00:00,NSPCL-36,2024-04-03 20:43:43,,,,Retired,Retired,f09f95c1e6eefff9_NSPCL-36,2024-05-07 13:09:14,009,9676282_NSPCL-36,,4,008001,008201,43.530432063,25.903737568,1
533,4989882,Urbi,2024-04-01 03:00:00,NSPCL-10,2024-04-03 20:56:41,,,,Retired,Retired,c60c47aba42321df_NSPCL-10,2024-05-07 13:23:25,009,9363000_NSPCL-10,95edc8a9416aa651_NSPCL-10,4,008001,008001068,43.924972402,26.399230277,1
534,4997410,Urbi,2024-04-02 03:00:00,NSPCL-71,2024-04-03 20:56:56,Low (0%-10%),,,Retired,Retired,14962d6d40a99d76_NSPCL-71,2024-05-26 19:09:03,009,9572523_NSPCL-71,15ad622c619b7984_NSPCL-71,4,008001,008001653,43.838324875,26.37598785,1
535,4997423,Urbi,2024-04-02 03:00:00,NSPCL-71,2024-04-03 20:56:56,Low (0%-10%),,,Retired,Retired,55395e2b28eeb1ed_NSPCL-71,2024-05-07 13:23:25,009,9572836_NSPCL-71,46d028576011f26b_NSPCL-71,4,008001,008001653,43.838842395,26.378233478,1
536,4997430,Urbi,2024-04-02 03:00:00,NSPCL-74,2024-04-03 20:56:56,,,,Retired,Retired,6e81ccca1969d7ff_NSPCL-74,2024-05-07 13:09:14,009,9573056_NSPCL-74,997d55a8986b7706_NSPCL-74,4,008001,008001653,43.839945607,26.380280577,1
537,4997432,Urbi,2024-04-02 03:00:00,NSPCL-36,2024-04-03 20:56:56,,,,Retired,Retired,e33c2b8d7b6c5424_NSPCL-36,2024-04-08 13:33:09,009,9573336_NSPCL-36,,4,008001,008001653,43.850104613,26.384385467,1
538,4997440,Urbi,2024-04-02 03:00:00,NSPCL-74,2024-04-03 20:56:56,,,,Retired,Retired,7a55e8c0c28e7b2d_NSPCL-74,2024-05-07 13:09:14,009,9573279_NSPCL-74,24246999829c1330_NSPCL-74,4,008001,008001653,43.83841716,26.372891127,1
539,104438,GEOTECH,2023-05-26 00:00:00,NSPCL-31,2023-07-10 19:25:41,Low (0%-10%),,,Retired,Retired,c51d1c576b347060_NSPCL-31,2024-02-01 00:00:00,002,GT_VD_1699478_31,23a05151277347aa_NSPCL-31,5,008001,008001068,43.939483,26.388661,1
540,4352332,Urbi,2024-04-02 03:00:00,NSPCL-10,2024-04-03 20:36:26,Low (0%-10%),,,Retired,Retired,c5938615ba14a7a9_NSPCL-10,2024-04-08 13:33:09,009,9776039_NSPCL-10,d302fed86b1d3ea8_NSPCL-10,4,008001,008101,44.035646772,26.095163557,1
541,4352334,Urbi,2024-04-02 03:00:00,NSPCL-36,2024-04-03 20:36:26,,,,Retired,Retired,6190baa11e2b89bf_NSPCL-36,2024-05-07 13:09:14,009,9776034_NSPCL-36,,4,008001,008101,43.985542967,26.089770167,1
542,4349781,Urbi,2024-04-01 03:00:00,NSPCL-10,2024-04-03 20:36:20,Low (0%-10%),,,Retired,Retired,6f4b28f324b195af_NSPCL-10,2024-04-08 13:33:09,009,9345832_NSPCL-10,a14a29a15eb8fa7c_NSPCL-10,4,008001,008302,43.731267055,25.988408337,1
543,4352386,Urbi,2024-04-02 03:00:00,NSPCL-36,2024-04-03 20:36:26,,,,Retired,Retired,458591bbacb7cc6f_NSPCL-36,2024-05-07 13:09:14,009,9776420_NSPCL-36,,4,008001,008101,44.013415812,26.092472923,1
544,4352389,Urbi,2024-04-02 03:00:00,NSPCL-36,2024-04-03 20:36:26,,,,Retired,Retired,3ec208bdf48ae703_NSPCL-36,2024-05-07 13:09:14,009,9776490_NSPCL-36,,4,008001,008101,43.98085488,26.087442508,1
545,4352394,Urbi,2024-04-02 03:00:00,NSPCL-12,2024-04-03 20:36:26,Low (0%-10%),,,Retired,Retired,a1ca315a5aa2bc76_NSPCL-10_NSPCL-12,2024-04-08 13:33:09,009,9776552_NSPCL-12,2af516dce841cad4_NSPCL-12,4,008001,008101,44.009235817,26.09290574,1
546,4348869,Urbi,2024-04-01 03:00:00,NSPCL-36,2024-04-03 20:36:18,,,,Retired,Retired,8bc81e5b71fe0318_NSPCL-36,2024-04-08 13:33:09,009,9388264_NSPCL-36,,4,008001,008001068,43.940881311,26.380872952,1
547,6173209,Urbi,2024-05-07 03:00:00,NSPCL-31,2024-05-07 23:06:44,Low (0%-10%),,INC-24-05-281481,Closed,,ddf6dd3a809b6a4d_NSPCL-31,,009,13361205_NSPCL-29,e7cf1204e11328b4_NSPCL-29,5,008001,008203,44.202192838,25.879014968,1
548,6147323,Urbi,2024-05-07 03:00:00,NSPCL-31,2024-05-07 23:05:11,Low (0%-10%),,INC-24-05-074042,Closed,,dadda441597dcc2b_NSPCL-31,,009,13360324_NSPCL-31,0fb8410a7ef08f0f_NSPCL-31,5,008001,008203,44.205181754,25.877119676,1
549,6129596,Urbi,2024-05-07 03:00:00,NSPCL-71,2024-05-07 23:04:13,Low (0%-10%),,INC-24-05-282061,Closed,,c829c854ed0b6385_NSPCL-71,,009,13360425_NSPCL-71,85ae04ebcd5c15e2_NSPCL-71,5,008001,008203,44.199508094,25.875474708,1
550,6138624,Urbi,2024-05-06 03:00:00,NSPCL-17,2024-05-07 23:04:43,Low (0%-10%),,INC-24-05-100043,Closed,,5361814a4fba9a45_NSPCL-17,,009,13131870_NSPCL-17,e23d0ea2cd85541d_NSPCL-17,5,008001,008704,42.852211717,25.500444886,1
